Type,FirstRound,SecondRound,SweetSixteen,EliteEight,FinalFour,Championship,Total
CoinFlip,170.0,80.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,270.0,260.0,200.0,80.0,0.0,0.0,810.0
CoinFlip,120.0,20.0,0.0,0.0,0.0,0.0,140.0
FiveThirtyEight,260.0,260.0,200.0,160.0,160.0,0.0,1040.0
CoinFlip,150.0,20.0,0.0,0.0,0.0,0.0,170.0
FiveThirtyEight,290.0,240.0,160.0,160.0,0.0,0.0,850.0
CoinFlip,170.0,80.0,80.0,80.0,160.0,0.0,570.0
FiveThirtyEight,280.0,280.0,200.0,80.0,0.0,0.0,840.0
CoinFlip,190.0,20.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,280.0,220.0,240.0,240.0,160.0,0.0,1140.0
CoinFlip,140.0,40.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,260.0,260.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,110.0,40.0,0.0,0.0,0.0,0.0,150.0
FiveThirtyEight,280.0,240.0,160.0,240.0,0.0,0.0,920.0
CoinFlip,170.0,60.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,270.0,240.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,160.0,100.0,80.0,0.0,0.0,0.0,340.0
FiveThirtyEight,260.0,220.0,240.0,320.0,160.0,0.0,1200.0
CoinFlip,90.0,80.0,0.0,0.0,0.0,0.0,170.0
FiveThirtyEight,290.0,260.0,160.0,80.0,0.0,0.0,790.0
CoinFlip,180.0,160.0,120.0,80.0,0.0,0.0,540.0
FiveThirtyEight,280.0,260.0,200.0,160.0,0.0,0.0,900.0
CoinFlip,190.0,140.0,120.0,80.0,0.0,0.0,530.0
FiveThirtyEight,250.0,240.0,240.0,240.0,160.0,0.0,1130.0
CoinFlip,220.0,80.0,80.0,0.0,0.0,0.0,380.0
FiveThirtyEight,270.0,200.0,160.0,160.0,160.0,0.0,950.0
CoinFlip,170.0,60.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,270.0,260.0,200.0,80.0,0.0,0.0,810.0
CoinFlip,170.0,100.0,40.0,0.0,0.0,0.0,310.0
FiveThirtyEight,280.0,240.0,240.0,80.0,0.0,0.0,840.0
CoinFlip,130.0,120.0,120.0,160.0,320.0,320.0,1170.0
FiveThirtyEight,260.0,240.0,200.0,160.0,0.0,0.0,860.0
CoinFlip,190.0,140.0,40.0,0.0,0.0,0.0,370.0
FiveThirtyEight,290.0,220.0,160.0,80.0,0.0,0.0,750.0
CoinFlip,170.0,100.0,80.0,0.0,0.0,0.0,350.0
FiveThirtyEight,280.0,280.0,200.0,160.0,160.0,0.0,1080.0
CoinFlip,170.0,60.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,320.0,280.0,240.0,240.0,160.0,0.0,1240.0
CoinFlip,220.0,140.0,0.0,0.0,0.0,0.0,360.0
FiveThirtyEight,240.0,240.0,280.0,160.0,0.0,0.0,920.0
CoinFlip,140.0,20.0,40.0,0.0,0.0,0.0,200.0
FiveThirtyEight,250.0,260.0,120.0,80.0,160.0,0.0,870.0
CoinFlip,150.0,40.0,80.0,80.0,160.0,0.0,510.0
FiveThirtyEight,260.0,220.0,120.0,80.0,0.0,0.0,680.0
CoinFlip,160.0,40.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,290.0,160.0,160.0,80.0,0.0,0.0,690.0
CoinFlip,200.0,80.0,0.0,0.0,0.0,0.0,280.0
FiveThirtyEight,280.0,280.0,320.0,160.0,0.0,0.0,1040.0
CoinFlip,100.0,80.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,250.0,220.0,240.0,160.0,0.0,0.0,870.0
CoinFlip,150.0,60.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,290.0,260.0,200.0,160.0,0.0,0.0,910.0
CoinFlip,130.0,20.0,0.0,0.0,0.0,0.0,150.0
FiveThirtyEight,260.0,240.0,160.0,160.0,160.0,0.0,980.0
CoinFlip,140.0,100.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,210.0,200.0,280.0,160.0,0.0,0.0,850.0
CoinFlip,160.0,60.0,0.0,0.0,0.0,0.0,220.0
