1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
140,FL,Florida,S,S6FL00376 ,,Alan,Grayson,"Grayson, Alan",,D,"199,929",17.70%,,,,,,,,,,
141,FL,Florida,S,S6FL00285 ,,Pam,Keith,"Keith, Pam",,D,"173,919",15.39%,,,,,,,,,,
142,FL,Florida,S,S6FL00509 ,,"Roque ""Rocky""",De La Fuente,"De La Fuente, Roque ""Rocky""",,D,"60,810",5.38%,,,,,,,,,,
143,FL,Florida,S,S6FL00491 ,,Reginald,Luster,"Luster, Reginald",,D,"29,138",2.58%,,,,,,,,,,
144,FL,Florida,S,n/a,,,,,Party Votes:,D,"1,129,781",,,,,,,,,,,
145,FL,Florida,S,S6FL00467 ,,Paul,Stanton,"Stanton, Paul",,LBF,"2,946",73.48%,,,"196,956",2.12%,,,,,,
146,FL,Florida,S,S6FL00301 ,,Augustus,Invictus,"Invictus, Augustus",,LBF,"1,063",26.52%,,,,,,,,,,
147,FL,Florida,S,n/a,,,,,Party Votes:,LBF,"4,009",,,,,,,,,,,
148,FL,Florida,S,S6FL00327 ,,Bruce,Nathan,"Nathan, Bruce",,NPA,,,,,"52,451",0.56%,,,,,,
149,FL,Florida,S,S6FL00434 ,,Tony ,Khoury,"Khoury, Tony ",,NPA,,,,,"45,820",0.49%,,,,,,
150,FL,Florida,S,S6FL00517 ,,Steven ,Machat,"Machat, Steven ",,NPA,,,,,"26,918",0.29%,,,,,,
151,FL,Florida,S,S6FL00459,,Basil E.,Dalack,"Dalack, Basil E.",,NPA,,,,,"22,236",0.24%,,,,,,
152,FL,Florida,S,S6FL00533 ,,Charles Frederick ,Tolbert,"Tolbert, Charles Frederick ",,W,,,,,56,0.00%,,,,,,
153,FL,Florida,S,S0FL00544,,Howard ,Knepper,"Knepper, Howard ",,W,,,,,50,0.00%,,,,,,
154,FL,Florida,S,S6FL00442,,Angela Marie,Walls-Windhauser,"Walls-Windhauser, Angela Marie",,W,,,,,37,0.00%,,,,,,
155,FL,Florida,S,S6FL00558,,Robert Samuel,Kaplan,"Kaplan, Robert Samuel",,W,,,,,10,0.00%,,,,,,
156,FL,Florida,S,S6FL00541,,Bradley ,Patrick,"Patrick, Bradley ",,W,,,,,7,0.00%,,,,,,
