State,Year,PARTY,Power_House,Power_Senate,Power_Total
MS,2012,REP,3.31077865375463,1.6084815230711542,10.30767327911415
MS,2014,REP,6.38692978688412,2.135125700187784,15.67472658270098
MS,2016,REP,3.383313329493273,2.135125700187784,12.671110125310133
MT,2000,REP,2.43591711061256,,
MT,2002,REP,3.018221000178075,,
MT,2004,REP,2.251086149066925,5.419040883953949,25.8239139942666
MT,2006,REP,2.4622415261957875,5.456713257903367,26.19894419807543
MT,2008,REP,2.079434393844874,4.5240526916417,21.759063602486265
MT,2010,REP,2.7751490948851227,4.5240526916417,22.454778303526513
MT,2012,REP,2.084462417142619,4.15056592966451,20.139424211183236
MT,2014,REP,2.7176645477942074,4.673486841797797,23.047332309614625
MT,2016,REP,1.969159031252523,4.673486841797797,22.29882679307294
NC,2000,REP,4.316857327865314,,
NC,2002,REP,5.792841740900448,,
NC,2004,REP,3.8088864837561247,0.6892674000816438,6.807199674111275
NC,2006,REP,6.698241144925206,0.6892674000816438,9.696554335280357
NC,2008,REP,3.0841549640778982,0.5165254572154216,5.331040702964982
NC,2010,REP,4.8825392509208285,0.5770299661759459,7.392619603786193
NC,2012,REP,2.965252712521943,0.5770299661759459,5.475333065387307
NC,2014,REP,4.62963292708898,0.7174424611146186,7.750507632937571
NC,2016,REP,2.827034627694762,0.5258719811990249,5.11457774591052
ND,2000,REP,3.500689635858264,,
ND,2002,REP,4.328442193654504,,
ND,2004,REP,3.217358291454053,6.686335637333155,32.302918313853276
ND,2006,REP,4.59514477003598,7.563609959761595,37.49684809499892
ND,2008,REP,3.185068399343876,7.563609959761595,36.086771724306814
ND,2010,REP,4.216971623997942,8.753424777444176,42.294369405880104
ND,2012,REP,3.1638460978704153,7.147158200559979,34.25398427030632
ND,2014,REP,4.021393815096312,7.147158200559979,35.11153198753222
ND,2016,REP,2.954567613802558,6.029981065859453,29.184985250291177
NE,2000,REP,4.391929975068478,,
NE,2002,REP,6.331598475351087,,
NE,2004,REP,3.9217121672427226,3.4113189267649524,18.760949498670264
NE,2006,REP,5.0328223900202484,3.7294889760967727,21.25609943604121
NE,2008,REP,3.868980833068953,2.888447437838806,16.433727187667756
NE,2010,REP,6.178611295325263,2.888447437838806,18.743357649924068
NE,2012,REP,3.8834197394225356,2.529911459423699,14.888534587915625
NE,2014,REP,5.601927062909641,3.009987892323703,18.69537439451775
NE,2016,REP,3.8058218926098553,3.009987892323703,16.899269224217964
NH,2000,DEM,3.594426482296551,,
NH,2002,DEM,4.5101625237065415,,
NH,2004,DEM,3.069527875917405,3.6224632569023774,18.827243043442746
NH,2006,DEM,4.9668586357529385,3.6224632569023774,20.72457380327828
NH,2008,DEM,2.963072706396533,2.958857821703666,15.83410423080748
NH,2010,DEM,4.439265301592586,3.478454453117391,19.570542172653234
NH,2012,DEM,2.9307636397739794,3.478454453117391,18.062040510834628
NH,2014,DEM,4.158695832986775,4.240396561886468,22.604420877192908
NH,2016,DEM,2.790268102910668,3.259189488462062,16.967742377720636
NJ,2000,DEM,4.3503970406591455,,
NJ,2002,DEM,6.480367725974161,,
NJ,2004,DEM,3.957869996148688,0.7799907415098982,7.350829721716745
NJ,2006,DEM,6.083744142056362,0.916868874456354,10.072123745941502
NJ,2008,DEM,3.781290176208122,0.6977740136746262,6.816607135692745
NJ,2010,DEM,6.127497190778211,0.6977740136746262,9.162814150262834
NJ,2012,DEM,3.656358376747511,0.5833358732749482,6.193869425493535
NJ,2014,DEM,6.588465244473238,0.7627469798556615,9.906414606845367
NJ,2016,DEM,3.4648924107595303,0.7627469798556615,6.782841773131658
NM,2000,DEM,5.106261297603121,,
NM,2002,DEM,6.856766714511661,,
NM,2004,DEM,4.0382339995073355,3.728331403921832,20.2564756065673
NM,2006,DEM,5.346792993562461,3.839176880476826,22.04721242363665
NM,2008,DEM,3.682942818629798,2.8939372015627263,16.271569645427657
NM,2010,DEM,5.019324398935903,2.8939372015627263,17.60795122573376
NM,2012,DEM,4.020962618450858,2.50087061558305,14.899749796237124
NM,2014,DEM,5.860691366224835,3.097655926319156,19.335494645713162
NM,2016,DEM,3.845532644726621,3.097655926319156,17.320335924214948
NV,2000,DEM,3.417611636284099,,
NV,2002,DEM,6.001104203173384,,
NV,2004,DEM,3.7905925075148494,2.8362397700376794,16.128235507178754
NV,2006,DEM,5.218961531034555,2.8722426470588234,17.713217045740436
NV,2008,DEM,3.303040779341462,2.8722426470588234,15.797296294047342
NV,2010,DEM,4.268712613192029,3.067541120388719,17.612516486882953
NV,2012,DEM,4.107864300810687,2.326651384444823,14.228797823145666
NV,2014,DEM,7.366360410232612,2.326651384444823,17.487293932567592
NV,2016,DEM,3.708865207784537,1.8992459518759564,11.970585098444946
NY,2000,DEM,5.322939292735905,,
NY,2002,DEM,4.092030037758149,,
NY,2004,DEM,4.660567644282335,0.2191476056644835,5.613859728922838
NY,2006,DEM,7.012660027692752,0.250583358057558,8.10269763524313
NY,2008,DEM,4.537974711275271,0.250583358057558,5.628012318825649
NY,2010,DEM,6.445356820509925,0.43929169924289174,8.356275712216505
NY,2012,DEM,4.173284026755388,0.2245488791965484,5.150071651260373
NY,2014,DEM,7.393802405286076,0.2245488791965484,8.370590029791062
NY,2016,DEM,3.794041443860412,0.1936388195487102,4.636370308897301
OH,2000,REP,4.202408333862321,,
OH,2002,REP,5.699768494402986,,
OH,2004,REP,3.4725517931099943,0.40492666170766484,5.2339827715383365
OH,2006,REP,4.544083287997688,0.4234851301666245,6.3862436042225035
OH,2008,REP,3.349248465858133,0.4234851301666245,5.1914087820829495
OH,2010,REP,4.705545275972388,0.510573074877839,6.926538151690988
OH,2012,REP,3.112649711155834,0.4317684425842421,4.990842436397287
OH,2014,REP,5.33304712647088,0.4317684425842421,7.211239851712333
OH,2016,REP,3.066100332384439,0.3695733580479357,4.6737444398929595
OK,2000,REP,5.51716528047889,,
OK,2002,REP,4.990757117817801,,
OK,2004,REP,3.6373953339492657,1.6225403302680843,10.695445770615432
OK,2006,REP,5.523677797245673,1.6225403302680843,12.58172823391184
OK,2008,REP,3.7399199806720937,1.43181090073434,9.968297398866472
OK,2010,REP,6.305337215739635,1.692068850281518,13.665836714464238
OK,2012,REP,3.770923914068186,1.692068850281518,11.131423412792788
OK,2014,REP,7.652128133355167,2.43661303478326,18.25139483466235
OK,2016,REP,4.412112484160517,1.7630010862290442,12.081167209256858
OR,2000,DEM,3.472217399698056,,
OR,2002,DEM,4.031234001040058,,
OR,2004,DEM,2.821183249393728,1.3124345628329688,8.53027359771714
OR,2006,DEM,3.6834203357216633,1.3124345628329688,9.392510684045076
OR,2008,DEM,2.9717523056340265,1.1273785573725765,7.8758490302047335
OR,2010,DEM,3.498078855092783,1.2460702060875515,8.91848425157363
OR,2012,DEM,2.927112555673681,1.2460702060875515,8.34751795215453
OR,2014,DEM,3.4466072287761373,1.3773127663808973,9.43791776253304
OR,2016,DEM,2.6152474154817416,1.1716132176716765,7.711764912353534
PA,2000,REP,4.61097935664542,,
PA,2002,REP,5.7396385175661635,,
PA,2004,REP,3.6876920753826368,0.3885528823872767,5.37789711376729
PA,2006,REP,4.734154783938159,0.4149313890201686,6.539106326175892
PA,2008,REP,3.282708213543279,0.4149313890201686,5.087659755781012
PA,2010,REP,4.802344352860087,0.49635772699927927,6.961500465306951
PA,2012,REP,3.239548406952071,0.4163564810882559,5.050699099685984
PA,2014,REP,5.415923356259739,0.4163564810882559,7.227074048993652
PA,2016,REP,3.123616064549179,0.34223128983037476,4.612322175311309
RI,2000,DEM,5.206611355098705,,
RI,2002,DEM,6.083779730671071,,
RI,2004,DEM,4.972959532541804,5.589722735777999,29.288253433176095
RI,2006,DEM,5.356444606328104,5.637669781949027,29.88030815780637
RI,2008,DEM,4.563792694280655,4.85282003438223,25.673559843843353
RI,2010,DEM,5.9689554626388155,4.85282003438223,27.078722612201517
RI,2012,DEM,4.675355034772953,4.667439127842324,24.97871524088706
RI,2014,DEM,6.323970694719801,5.441532770950921,29.994638248356306
RI,2016,DEM,4.634725682173686,5.441532770950921,28.305393235810193
SC,2000,REP,4.544487120544793,,
SC,2002,REP,5.7799626036419545,,
SC,2004,REP,4.169220314109058,1.4789880172390844,10.602818189099075
SC,2006,REP,5.523814083148132,1.4789880172390844,11.957411958138149
SC,2008,REP,3.2018955221491123,1.1517304029472781,8.211922774969771
SC,2010,REP,4.476980485588227,1.253830059008377,9.931141242274666
SC,2012,REP,3.882991056916883,1.253830059008377,9.337151813603322
SC,2014,REP,6.056505465563575,1.6135167525393728,13.075303339109846
SC,2016,REP,3.432277728145952,1.2160192909300314,8.721961643691587
SD,2000,REP,3.177013670689825,,
SD,2002,REP,2.9690594316626435,,
SD,2004,REP,2.5676050407222157,5.489257523027435,26.44587526589156
SD,2006,REP,2.9979434108201772,5.489257523027435,26.87621363598952
SD,2008,REP,2.6384736957364905,5.182280229212255,25.181392692809798
SD,2010,REP,3.1306155416277948,6.572245407643521,31.71988306487711
SD,2012,REP,2.7667951381875833,6.572245407643521,31.356062661436898
