1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
143,KY,Kentucky,S,S4KY00133,,Burrel Charles,Farnsley,"Farnsley, Burrel Charles",,D,"32,310",8.03%,,,,,,,,,,,,
144,KY,Kentucky,S,S4KY00158,,Tom,Recktenwald,"Recktenwald, Tom",,D,"29,791",7.40%,,,,,,,,,,,,
145,KY,Kentucky,S,n/a,,,,,Party Votes:,D,"402,524",,,,,,,,,,,,,
146,KY,Kentucky,S,S4KY00182,,David M.,Patterson,"Patterson, David M.",,LIB,"7,214",100.00%,,,"44,240",3.08%,,,,,,,,
147,KY,Kentucky,S,n/a,,,,,Party Votes:,LIB,"7,214",,,,,,,,,,,,,
148,KY,Kentucky,S,S4KY00190,,Mike,Maggard,"Maggard, Mike",,W,,,,,17,0.00%,,,,,,,,
149,KY,Kentucky,S,S4KY00208,,Robert Edward,Ransdell,"Ransdell, Robert Edward",,W,,,,,53,0.00%,,,,,,,,
150,KY,Kentucky,S,S4KY00174,,Shawna,Sterling,"Sterling, Shawna",,W,,,,,9,0.00%,,,,,,,,
151,KY,Kentucky,S,n/a,,Gregory D.,Welch,"Welch, Gregory D.",,W,,,,,64,,,,,,,,,
152,KY,Kentucky,S,n/a,,,,,Total State Votes:,,"757,640",,,,"1,435,868",,,,,,,,,
153,,,,n/a,,,,,,,,,,,,,,,,,,,,
154,LA,Louisiana,S,S4LA00107,,"""Bill""",Cassidy,"Cassidy, ""Bill""",,R,n/a,,,,"603,048",40.97%,"712,379",55.93%,,,W (Runoff),"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
155,LA,Louisiana,S,S6LA00227,(I),Mary L.,Landrieu,"Landrieu, Mary L.",,D,n/a,,,,"619,402",42.08%,"561,210",44.07%,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
156,LA,Louisiana,S,S4LA00115,,"""Rob""",Maness,"Maness, ""Rob""",,R,n/a,,,,"202,556",13.76%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
157,LA,Louisiana,S,S4LA00149,,Thomas,Clements,"Clements, Thomas",,R,n/a,,,,"14,173",0.96%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
158,LA,Louisiana,S,S4LA00123,,Brannon Lee,McMorris,"McMorris, Brannon Lee",,LIB,n/a,,,,"13,034",0.89%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
159,LA,Louisiana,S,S4LA00156 ,,Wayne,Ables,"Ables, Wayne",,D,n/a,,,,"11,323",0.77%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
160,LA,Louisiana,S,S4LA00172,,"William P., Jr.",Waymire,"Waymire, William P., Jr.",,D,n/a,,,,"4,673",0.32%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
161,LA,Louisiana,S,S4LA00164,,Vallian,Senegal,"Senegal, Vallian",,D,n/a,,,,"3,835",0.26%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
162,LA,Louisiana,S,n/a,,,,,Total State Votes:,,,,,,"1,472,044",,"1,273,589",,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary.",,
163,,,,n/a,,,,,,,,,,,,,,,,,,,,
164,ME,Maine,S,S6ME00159 ,(I),Susan M.,Collins,"Collins, Susan M.",,R,"53,416",98.86%,,,"413,495",68.46%,,,,,W,,,
165,ME,Maine,S,S4ME00089,,Erick,Bennett,"Bennett, Erick",,W(R),615,1.14%,,,,,,,,,,,,
166,ME,Maine,S,n/a,,,,,Party Votes:,R,"54,031",,,,,,,,,,,,,
167,ME,Maine,S,S4ME00071 ,,Shenna,Bellows,"Bellows, Shenna",,D,"47,909",100.00%,,,"190,244",31.50%,,,,,,,,
168,ME,Maine,S,n/a,,,,,Party Votes:,D,"47,909",,,,,,,,,,,,,
169,ME,Maine,S,S4ME00105 ,,,Others,Others,,W,,,,,269,0.04%,,,,,,,,
170,ME,Maine,S,n/a,,,,,Total State Votes:,,"101,940",,,,"604,008",,,,,,,,,
171,,,,n/a,,,,,,,,,,,,,,,,,,,,
