State,District,Year,Cluster,Power_House,Power_Senate,Power_Total
TX,27.0,2004,Rural,5.63266041816871,0.37069081198339604,7.245165450296483
TX,27.0,2006,Rural,9.147959090326948,0.4530691185257131,11.1188097559138
TX,27.0,2008,Rural,5.5263579643107805,0.32715185358515086,6.949468527406187
TX,27.0,2010,Rural,9.380951040816518,0.32715185358515086,10.804061603911924
TX,27.0,2012,Rural,4.702540782784939,0.253535280099756,5.805419251218877
TX,27.0,2014,Rural,7.6308500003815425,0.3196629473882738,9.021383821520534
TX,27.0,2016,Rural,4.336889582791222,0.3196629473882738,5.727423403930213
TX,28.0,2000,Suburban,7.232749891508751,,
TX,28.0,2002,Suburban,9.958175662218682,,
TX,28.0,2004,Suburban,5.550436819377685,0.37069081198339604,7.162941851505458
TX,28.0,2006,Suburban,12.860909266285127,0.4530691185257131,14.831759931871979
TX,28.0,2008,Suburban,5.563591854901524,0.32715185358515086,6.986702417996931
TX,28.0,2010,Suburban,8.976499524245526,0.32715185358515086,10.399610087340932
TX,28.0,2012,Suburban,6.037006852002777,0.253535280099756,7.139885320436715
TX,28.0,2014,Suburban,13.134391089629085,0.3196629473882738,14.524924910768076
TX,28.0,2016,Suburban,5.421758601620022,0.3196629473882738,6.812292422759013
TX,29.0,2000,Suburban,8.659883091578264,,
TX,29.0,2002,Suburban,17.06688512279624,,
TX,29.0,2004,Suburban,12.03021991242,0.37069081198339604,13.642724944547773
TX,29.0,2006,Suburban,19.782393669634025,0.4530691185257131,21.753244335220877
