STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
NE,S,,"Stenberg, Don",N(R),"2,413",,,,,,,,,,,,,,,,,
NE,S,,Write-In,N(R),21,,,,,,,,,,,,,,,,,
NE,S,,Write-In,LBT,71,,,,,,,,,,,,,,,,,
NE,S,,Write-In,(N)LBT,27,,,,,,,,,,,,,,,,,
NE,S,,Write-In,NL,1,,,,,,,,,,,,,,,,,
NE,S,,Write-In,(N)NL,22,,,,,,,,,,,,,,,,,
NE,S,,Scattered,W,,,"1,280",,,,,,,,,,,,,,,
NJ,S,,"Corzine, Jon S.",D,"251,216",,"1,511,237",,,,,,,,,,,,,,,
NJ,S,,"Florio, Jim",D,"182,212",,,,,,,,,,,,,,,,,
NJ,S,,"Franks, Bob",R,"98,370",,"1,420,267",,,,,,,,,,,,,,,
NJ,S,,"Gormley, William L.",R,"94,010",,,,,,,,,,,,,,,,,
NJ,S,,"Sabrin, Murray",R,"34,629",,,,,,,,,,,,,,,,,
NJ,S,,"Treffinger, James W.",R,"48,674",,,,,,,,,,,,,,,,,
NJ,S,,"Afran, Bruce",I (GRN),,,"32,841",,,,,,,,,,,,,,,
NJ,S,,"Breen, Dennis A.",I (I),,,"6,061",,,,,,,,,,,,,,,
NJ,S,,"Carter, J.M.",I (TG),,,"5,657",,,,,,,,,,,,,,,
NJ,S,,"DiNizio, Pat",I (REF),,,"19,312",,,,,,,,,,,,,,,
NJ,S,,"Ellett, Emerson",I (LBT),,,"7,241",,,,,,,,,,,,,,,
NJ,S,,"Gostigian, George",I (GBJ),,,"2,536",,,,,,,,,,,,,,,
NJ,S,,"LaNeve, Lorraine",I (NJC),,,"3,836",,,,,,,,,,,,,,,
NJ,S,,"Pason, Gregory",I (SOC),,,"3,365",,,,,,,,,,,,,,,
NJ,S,,"Rosenstock, Nancy",I (SWP),,,"3,309",,,,,,,,,,,,,,,
NM,S,(I),"Bingaman, Jeff",D,"124,887",,"363,744",,,,,,,,,,,,,,,
NM,S,,"Davis, William F.",R,"13,083",,,,,,,,,,,,,,,,,
NM,S,,"Pearce, Steve",R,"15,628",,,,,,,,,,,,,,,,,
NM,S,,"Redmond, Bill",R,"43,780",,"225,517",,,,,,,,,,,,,,,
NM,S,,"Cole, Orlin G.",W,,,265,,,,,,,,,,,,,,,
NV,S,,"Bernstein, Ed",D,Unopposed,,"238,260",,,,,,,,,,,,,,,
NV,S,,"Ensign, John",R,"95,904",,"330,687",,,,,,,,,,,,,,,
NV,S,,"Hamzik, Richard",R,"6,202",,,,,,,,,,,,,,,,,
NV,S,,"Platin, Fernando Jr.",R,"1,543",,,,,,,,,,,,,,,,,
